"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-11","2004-01-26",1256,"TRES DE FEBRERO Nº 6","Buenos Aires","Nacional","2004","","FURGON VIDRIADO","37","RENAULT","MH","KANGOO RL EXP. 110CV GNC","1","Privado","Física","LOMA HERMOSA - TRES DE FEBRERO","BUENOS AIRES","Femenino","1955","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-14","2010-04-23",2045,"CAPITAL FEDERAL Nº 045","Ciudad Autónoma de Bs.As.","Nacional","2010","","UTILITARIO","08","CHEVROLET","CD","CORSA CLASSIC 3 P CARGO 1.4N","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2006","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-21","1999-10-25",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","1999","","BERLINA 5 PTAS","37","RENAULT","DU","CLIO RN 5 PTAS PACK AA DA","1","Privado","Física","LOS POLVORINES","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-20","1997-03-13",1260,"FLORENCIO VARELA Nº 3","Buenos Aires","Nacional","1995","","CHASIS C/CAB Y CAJA","29","MERCEDES BENZ","53","BMO390 VERSION 1420","1","Privado","Física","INGENIERO JUAN ALLAN","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-03","2007-01-31",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2007","","FURGON VIDR.C/ASIENT","37","RENAULT","TD","KANGOO EXP CONFORT 1.9","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","1994-08-30",1178,"LA MATANZA Nº 08","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-21","2013-10-02",1258,"AVELLANEDA Nº 7","Buenos Aires","Protocolo 21","2013","","CAMILLA HIDRAULICA","092","MERCEDES BENZ","272","710","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-19","1993-09-27",1302,"NECOCHEA Nº 3","Buenos Aires","Protocolo 21","1993","","AUTOMOVIL","999","SUZUKI","999","VITARA WAGON SE416WY","1","Privado","Física","NECOCHEA","BUENOS AIRES","Femenino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-13","2001-09-17",1257,"MORENO Nº 3","Buenos Aires","Nacional","2001","","RURAL 3 PUERTAS","34","PEUGEOT","05","PARPANDAA","1","Privado","Física","CUARTEL V","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-20","2001-09-11",1290,"LA MATANZA Nº 13","Buenos Aires","Nacional","2001","","RURAL 3 PUERTAS","34","PEUGEOT","05","PARPANDAA","1","Privado","Física","VILLA LUZURIAGA","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2010-02-24",1239,"QUILMES Nº 8","Buenos Aires","Nacional","2010","","FURGON VIDRIADO CON ASIENTOS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","FRANCISCO SOLANO","BUENOS AIRES","Masculino","1966","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","2000-10-06",2010,"CAPITAL FEDERAL Nº 010","Ciudad Autónoma de Bs.As.","Importado","2000","","FURGÓN VIDRIADO C/ASIENTOS","104","PEUGEOT","382","EXPERT ST 1.9D","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1942","ITALIA",100,"02","ITA"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-21","2000-09-25",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS.GLS 1.7D","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","No identificado","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2008-03-27",1240,"JOSE C. PAZ Nº 1","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","JOSE C. PAZ","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-20","1994-08-18",1240,"JOSE C. PAZ Nº 1","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","JOSE C. PAZ","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2008-07-03",2061,"CAPITAL FEDERAL Nº 061","Ciudad Autónoma de Bs.As.","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON  D PLC CONFORT","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1990","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-18","2001-01-10",1251,"LANUS Nº 8","Buenos Aires","Nacional","2001","","SEDAN 5 PUERTAS","34","PEUGEOT","25","206 XRD5PK","1","Privado","Física","LANÚS OESTE","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-03","2004-11-24",2061,"CAPITAL FEDERAL Nº 061","Ciudad Autónoma de Bs.As.","Nacional","2004","","FOURGON COURT TYPE 6","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1969","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2005-03-10",1014,"BRANDSEN","Buenos Aires","Nacional","2005","","BERLINA 4 PUERTAS","37","RENAULT","NG","MEGANE PRIVILEGE TD TRIC","1","Privado","Física","BRANDSEN","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-12","2011-06-22",1044,"LA PLATA Nº 02","Buenos Aires","Protocolo 21","2011","","FURGON VIDRIADO C/A","112","RENAULT","137","MASTER PH3 DCI 120 L1H1 PKCNF","1","Privado","Física","SAN CARLOS","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2008-01-22",1186,"MORENO Nº 2","Buenos Aires","Protocolo 21","2008","","PICK-UP CABINA DOBLE","024","CHEVROLET","824","S10 2.8 TDI DLX 4X4 ELECTRONIC CD","1","Privado","Física","TRUJUI","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-05","1995-05-22",1257,"MORENO Nº 3","Buenos Aires","Nacional","1995","","BREAK 4 PUERTAS","37","RENAULT","AK","R-21 RN BREAK M2100 DIESEL","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-12","1994-05-12",1042,"JUNIN Nº 1","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","JUNIN B","BUENOS AIRES","No identificado","1964","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2006-05-23",1068,"OLAVARRIA Nº 1","Buenos Aires","Protocolo 21","2006","","CAMION CON CAJA ABIERTA","092","MERCEDES BENZ","759","LS-1634","1","Privado","Jurídica","OLAVARRIA","BUENOS AIRES","No aplica","2010","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-31","1994-11-04",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Nacional","1994","","BERLINA 5 PUERTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1961","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","2001-09-21",2075,"CAPITAL FEDERAL Nº 075","Ciudad Autónoma de Bs.As.","Nacional","2001","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1956","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-21","1995-08-11",1227,"LA MATANZA Nº 10","Buenos Aires","Protocolo 21","1995","","AUTOMOVIL","044","FIAT","312","UNO 1.7 SD","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","1998-10-26",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Importado","1998","","FURGON VIDRIADO","136","VOLKSWAGEN","131","TRANSPORTER","1","Privado","Física","ING. ADOLFO SOURDEAUX","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-13","1990-02-13",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1990","","BERLINA 4 PTAS","37","RENAULT","60","RENAULT 9 TS","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-31","2007-08-15",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Femenino","1971","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-13","2009-06-25",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2007-05-18",13013,"MENDOZA Nº 07","Mendoza","Protocolo 21","2007","","PICK UP CABINA DOBLE","093","MITSUBISHI","457","L200 OUTDOOR HPE","1","Privado","Física","CHACRAS DE CORIA","MENDOZA","Masculino","1981","PERU",100,"50",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","1991-03-22",4032,"VILLA DOLORES","Córdoba","Nacional","1991","","RURAL 4 PUERTAS","37","RENAULT","61","RENAULT 18 GTS BREAK","1","Privado","Física","LUYABA","CORDOBA","Femenino","1977","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-19","2006-11-08",13020,"MENDOZA Nº 12","Mendoza","Nacional","2006","","FURGON 600","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","GODOY CRUZ","MENDOZA","Femenino","1991","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-14","2011-06-13",4038,"CORDOBA Nº 07","Córdoba","Nacional","2011","","FURGON 800","34","PEUGEOT","KD","PARTNER PRESENCE 1.4","1","Privado","Física","CAPITAL","CORDOBA","Femenino","1982","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-17","2011-05-27",4044,"CORDOBA Nº 11","Córdoba","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","CORDOBA","CORDOBA","No identificado","1965","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-06","1997-10-17",21016,"ROSARIO Nº 04","Santa Fe","Nacional","1997","","BERLINA 4 PUERTAS","37","RENAULT","CK","MEGANE RT TRIC 2.0","9","No declarado","Física","ROSARIO","SANTA FE","Masculino","1985","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","2014-11-28",1064,"MORENO Nº 1","Buenos Aires","Nacional","2014","99","FURGON C/ASIENTOS","37","RENAULT","ZL","KANGOO PH3 CONFORT 1.6 1P","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-03","2008-05-08",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","2008","99","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","TD","KANGOO EXP CONFORT 1.9","1","Privado","Física","TEMPERLEY","BUENOS AIRES","Femenino","1953","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-05","2010-03-23",1285,"ESTEBAN ECHEVERRIA Nº 4","Buenos Aires","Nacional","2010","99","FURGON VIDRIADO CON ASIENTOS","33","RENAULT","7V","KANGOO CONFORT 1.5 DCICD DA SVT 1P","1","Privado","Física","EL JAGÜEL","BUENOS AIRES","No identificado","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-03","2008-01-09",1269,"LA MATANZA Nº 12","Buenos Aires","Nacional","2008","99","FURGON VIDRIADO C/ ASIENTOS","37","RENAULT","TE","KANGOO EXP CONFORT 1.9 AA","1","Privado","Física","ALDO BONZI","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2008-08-20",1260,"FLORENCIO VARELA Nº 3","Buenos Aires","Nacional","2008","99","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","UP","KANGOO CONFORT 1.5 DCICD DA SVT 1P","1","Privado","Física","FCIO VARELA - PARTIDO: FCIO VARELA","BUENOS AIRES","No identificado","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-10","1997-11-05",1185,"ADROGUE Nº 3","Buenos Aires","Nacional","1997","99","CHASIS C/CAB.C.VOLC/ HIDRO","29","MERCEDES BENZ","88","LK 1218/42","1","Privado","Física","CLAYPOLE- DON ORIONE","BUENOS AIRES","Femenino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-20","2020-08-13",2070,"CAPITAL FEDERAL Nº 070","Ciudad Autónoma de Bs.As.","Nacional","2020","93","CHASIS CON CABINA DORMITORIO","67","IVECO","DY","170E30NLA31","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2003","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-31","2013-08-30",21050,"ROSARIO Nº 12","Santa Fe","Nacional","2013","93","CHASIS CON CABINA DORMITORIO","29","MERCEDES BENZ","EK","BMO 695 VERSION ATRON 1634 51","1","Privado","Jurídica","ROSARIO","SANTA FE","No aplica","1991","No aplica",100,"82",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-07","2016-04-29",1090,"SAN MIGUEL Nº 1","Buenos Aires","Protocolo 21","2016","92","TRACTOR C/CABINA DORMITORIO","092","MERCEDES BENZ","B51","ATEGO 1726 S","1","Privado","Jurídica","SAN MIGUEL","BUENOS AIRES","No aplica","2013","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-13","2017-10-17",1104,"BERAZATEGUI Nº 1","Buenos Aires","Protocolo 21","2017","92","TRACTOR C/CABINA DORMITORIO","092","MERCEDES BENZ","B51","ATEGO 1726 S","1","Privado","Física","BERAZATEGUI","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-18","2012-02-22",2074,"CAPITAL FEDERAL Nº 074","Ciudad Autónoma de Bs.As.","Protocolo 21","2012","92","TRACTOR C/CABINA DOR","092","MERCEDES BENZ","892","AXOR 1933 S","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1984","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-12","2015-11-30",1131,"CAPILLA DEL SEÑOR","Buenos Aires","Protocolo 21","2015","91","CHASIS C/CABINA DORMITORIO","136","VOLKSWAGEN","383","17.250 E","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","2017","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-18","2013-09-03",1089,"SAN MARTIN Nº 2","Buenos Aires","Nacional","2013","91","MIDIBUS","29","MERCEDES BENZ","DK","SPRINTER 515 CDI-C 4325 TE","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Femenino","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","2013-04-24",2002,"CAPITAL FEDERAL Nº 002","Ciudad Autónoma de Bs.As.","Protocolo 21","2011","91","CHASIS C/CABINA DORMITORIO","092","MERCEDES BENZ","844","L-1624","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1971","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-05","2016-05-04",1218,"MORON Nº 04 (EX. MORON Nº 9)","Buenos Aires","Nacional","2016","90","MINIBUS (O MICROOMNIBUS)","29","MERCEDES BENZ","DJ","SPRINTER 415 CDI-C 3665 TE","1","Privado","Jurídica","CASTELAR","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-20","2019-01-07",1216,"QUILMES Nº 7","Buenos Aires","Protocolo 21","2019","82","PICK-UP CABINA DOBLE","044","FIAT","845","TORO VOLCANO 2.0 16V 4X4","1","Privado","Física","QUILMES","BUENOS AIRES","Femenino","1970","ARGENTINA",50,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2021-05-12","2013-06-05",1316,"JOSE C. PAZ Nº 3","Buenos Aires","Protocolo 21","2013","82","PICK-UP CABINA DOBLE","024","CHEVROLET","580","S10 2.8TD 4X2 LT","1","Privado","Física","JOSÉ C. PAZ","BUENOS AIRES","Femenino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-04","2018-01-25",1226,"LA MATANZA Nº 09","Buenos Aires","Protocolo 21","2018","82","PICK-UP CABINA DOBLE","112","RENAULT","A31","DUSTER OROCH DYNAMIQUE 1.6","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-05","2019-10-17",2061,"CAPITAL FEDERAL Nº 061","Ciudad Autónoma de Bs.As.","Protocolo 21","2019","82","PICK-UP CABINA DOBLE","044","FIAT","902","TORO FREEDOM 1.8 16V 4X2 AT6","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1966","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2021-05-05","2015-06-30",1226,"LA MATANZA Nº 09","Buenos Aires","Protocolo 21","2015","82","PICK-UP CABINA DOBLE","024","CHEVROLET","581","S10 2.8TD 4X2 LTZ","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
